city,recording_id,n_train,n_test,pca_components,pca_retained_variance,ari,aligned_accuracy,balanced_accuracy,macro_f1_present_reference,reference_profiles_present,predicted_profiles_present,all_reference_profiles_recovered,smallest_predicted_profile_count,smallest_predicted_profile_percentage,semantic_mae_mean,semantic_profile_correlation_mean
Changchun,changchun_pudong_507_009,18782,1166,5,0.9092896976475432,0.608220368450737,0.8361921097770154,0.7591432920200043,0.7192062850811956,4,4,True,17,1.4579759862778732,0.2786955448786568,0.7400488266726536
Changchun,changchun_pudong_507_010,18741,1207,5,0.917671666441137,0.940052475873882,0.975973487986744,0.9762714955474304,0.9781094834450768,4,4,True,1,0.0828500414250207,0.3705926781207302,0.8203278360027998
Changchun,changchun_pudong_507_011,18866,1082,5,0.9171595387097256,0.9769988912589544,0.9916820702402958,0.989694058711692,0.9906759481227566,3,3,True,250,23.10536044362292,0.1424471109509583,0.7568957620096234
Changchun,changchun_pudong_523_005,18864,1084,5,0.917173113364986,0.9537496821782342,0.981549815498155,0.9829278006318948,0.9838346742518708,4,4,True,2,0.1845018450184501,0.2747652987367753,0.8618185808168779
Changchun,changchun_pudong_523_006,19036,912,5,0.9172782423106978,0.963633064820754,0.9857456140350878,0.9872262220538084,0.9872763358925564,4,4,True,2,0.219298245614035,0.3534779344813032,0.8889786248043392
Changchun,changchun_pudong_523_007,18594,1354,5,0.916908810775547,0.9745663042013316,0.9896602658788776,0.9273788547765636,0.9552892998017498,4,4,True,3,0.2215657311669128,0.3208555688493425,0.8657234209762628
Changchun,changchun_pudong_523_008,18694,1254,5,0.9203019526604368,0.9670903765619796,0.988835725677831,0.9778733978653972,0.9852523361228056,4,4,True,19,1.5151515151515151,0.1987258615830063,0.9012975380558632
Changchun,changchun_pudong_xx,19342,606,5,0.91643237820678,0.9817406168516594,0.9933993399339934,0.9915672317314024,0.9933519202876672,4,4,True,79,13.036303630363037,0.2289539312577046,0.8809965806256776
Chongqing,6_22_NR_1,19830,118,5,0.9171099400213852,0.9838929896749934,0.9915254237288136,0.99,0.9905119942713928,4,4,True,3,2.5423728813559325,0.2499583377315557,0.8205814001185519
Chongqing,6_22_NR_2,19789,159,5,0.9170465579253289,0.988482342959738,0.9937106918238994,0.9950248756218903,0.971852708694814,3,3,True,7,4.40251572327044,0.1527502042943899,0.8372277669029229
Chongqing,6_22_NR_3,19678,270,5,0.917172531968124,0.9778516834644868,0.9888888888888888,0.9668458781362008,0.9559514170040484,3,3,True,13,4.814814814814815,0.1510337371503416,0.8696314477874468
Chongqing,6_22_NR_4,19661,287,5,0.9173964165898022,1.0,1.0,1.0,1.0,4,4,True,7,2.4390243902439024,0.2853904548733907,0.7505801659776052
Chongqing,6_24_NR_1,19787,161,5,0.9171870057114756,1.0,1.0,1.0,1.0,4,4,True,11,6.832298136645963,0.2696789978146323,0.7845469767122331
Chongqing,6_24_NR_2,19780,168,5,0.9170156073249984,1.0,1.0,1.0,1.0,4,4,True,1,0.5952380952380952,0.2483152074834596,0.8798991977961539
Chongqing,6_29_NR_1,19738,210,5,0.9170323279361768,0.9895354531945088,0.9952380952380953,0.994186046511628,0.9949579831932772,4,4,True,13,6.190476190476191,0.2424118238972256,0.8576451691949613
Chongqing,6_29_NR_2,19778,170,5,0.9171276640268566,0.9691642777393896,0.9882352941176472,0.9895574855252276,0.9895574855252276,4,4,True,2,1.1764705882352942,0.254621885842067,0.8160406612140891
Chongqing,6_29_NR_3,19724,224,5,0.9169281704948588,0.9813034763313074,0.9910714285714286,0.9333333333333332,0.9599048589874276,3,3,True,8,3.571428571428571,0.1523310137902773,0.8147774087324485
Chongqing,6_29_NR_4,19787,161,5,0.9170089620170432,0.8929418584024847,0.9627329192546584,0.8888888888888888,0.924762833008447,3,3,True,11,6.832298136645963,0.1061829963800488,0.9016323763212216
Tianjin,7_28_1,19859,89,5,0.9171170737203896,1.0,1.0,1.0,1.0,4,4,True,8,8.98876404494382,0.328894377001411,0.7777653116678099
Tianjin,8_10_1,19872,76,5,0.917091551719815,1.0,1.0,1.0,1.0,4,4,True,1,1.3157894736842104,0.3040675319894751,0.7742812467146536
Tianjin,8_10_2,19860,88,5,0.9171397466514996,0.9627485549703488,0.9886363636363636,0.9861111111111112,0.990520694259012,4,4,True,2,2.272727272727273,0.3308588825932456,0.7234216187652694
Tianjin,8_11_1,19744,204,5,0.9172081042446032,0.9713530912056646,0.9901960784313726,0.9875,0.9911144960649912,4,4,True,3,1.4705882352941175,0.3869287077115307,0.6804559542286203
Tianjin,8_2_1,19689,259,5,0.91717340872539,0.9761362521843692,0.9922779922779924,0.992887365042311,0.992887365042311,4,4,True,6,2.3166023166023164,0.3781527739173762,0.7101822944833872
Tianjin,8_3_1,19715,233,5,0.9169944839481784,0.9877705622090523,0.9957081545064378,0.9791666666666666,0.9883213732939355,4,4,True,1,0.4291845493562232,0.3734205729161535,0.7047331597123581
Tianjin,8_3_2,19729,219,5,0.9169167609746468,0.983674165393866,0.9954337899543378,0.9957627118644068,0.996947496947497,4,4,True,3,1.36986301369863,0.3244352168955361,0.7798670037184161
Tianjin,8_3_3,19702,246,5,0.9169578316339516,0.9508786404684846,0.983739837398374,0.9730447041516836,0.9782667983260452,4,4,True,1,0.4065040650406504,0.3320677486291516,0.7856045866626877
Tianjin,8_3_4,19707,241,5,0.917126449574029,0.9476529442129784,0.983402489626556,0.9779439310689312,0.9824422471776058,4,4,True,3,1.2448132780082988,0.2973884400626683,0.8075184988827605
Tianjin,8_5_1,19732,216,5,0.9170183967195368,0.9729243592585202,0.9907407407407408,0.9666666666666668,0.9804187192118228,4,4,True,2,0.9259259259259258,0.2885478604414478,0.8020776624579066
Tianjin,8_5_2,19741,207,5,0.9170149682184234,0.9840940077874268,0.9951690821256038,0.975,0.9860330437744848,4,4,True,1,0.4830917874396135,0.3060154539002739,0.8587468418203428
Tianjin,8_5_3,19736,212,5,0.9169282466228048,0.9860089622141138,0.9952830188679244,0.9976851851851852,0.986492880801824,3,3,True,14,6.60377358490566,0.2634567192562624,0.7659206063164491
Tianjin,8_6_1,19760,188,5,0.9170485415737863,0.9859449381123786,0.9946808510638298,0.9886363636363636,0.9929170109786328,4,4,True,3,1.5957446808510638,0.3293369411144313,0.7459740940145538
Tianjin,8_6_2,19739,209,5,0.916982890229999,0.9401855613842796,0.9808612440191388,0.960163971248877,0.9682108793627502,4,4,True,1,0.4784688995215311,0.4314657096514609,0.764295283597749
Tianjin,8_6_3,19783,165,5,0.9170177064255696,0.9650835362845874,0.987878787878788,0.9833333333333334,0.9881741821396994,4,4,True,12,7.272727272727272,0.3577282986665546,0.7872956917527714
Tianjin,8_6_4,19743,205,5,0.9170183829152796,1.0,1.0,1.0,1.0,4,4,True,3,1.4634146341463417,0.3433671531561371,0.7827995685331237
Tianjin,8_7_1,19698,250,5,0.9167675525800226,0.96383078607635,0.988,0.990018315018315,0.9878181570709132,4,4,True,29,11.6,0.2239946330492373,0.8645299456192335
Tianjin,8_7_2,19707,241,5,0.9169865926892408,0.9642667915621908,0.9875518672199172,0.9849041207670338,0.987104247104247,4,4,True,6,2.489626556016597,0.3673828162733676,0.7816595834712022
Tianjin,8_8_1,19736,212,5,0.9170361719592854,0.972006880377398,0.9905660377358492,0.9827586206896552,0.9890714285714286,4,4,True,19,8.962264150943396,0.2955321458362999,0.7886104364263855
Tianjin,8_9_1,19740,208,5,0.9165509752838136,0.940536292293891,0.9759615384615384,0.9730392156862744,0.97500262818111,4,4,True,33,15.865384615384617,0.2573465450969561,0.8038620454288868
Tianjin,8_9_2,19748,200,5,0.9165481743201388,0.9873969296775492,0.995,0.994318181818182,0.9946992523155898,4,4,True,43,21.5,0.2682378758077975,0.7461572439615614
Tianjin,8_9_3,19784,164,5,0.917040062228016,0.981862788044099,0.9939024390243902,0.9916666666666668,0.9940848595154136,4,4,True,22,13.414634146341465,0.2761708679531018,0.7983429516900871
Tianjin,8_9_4,19747,201,5,0.9171702409465292,0.9693355623085076,0.9900497512437813,0.983739837398374,0.9886363636363636,3,3,True,39,19.402985074626866,0.1907950907719391,0.7877690774587669
Xi'an,xian_412_m1,19598,350,5,0.917371854226378,0.9503911129821926,0.9828571428571428,0.984375,0.9864610313162232,4,4,True,4,1.1428571428571428,0.2812070533860177,0.8122495038246751
Xi'an,xian_412_m2,19348,600,5,0.92466956224597,0.9889478062035122,0.995,0.9951448321263988,0.9944607917843872,4,4,True,1,0.1666666666666666,0.5235606933869459,0.7639488972433759
Xi'an,xian_412_m3,19443,505,5,0.917669417723626,0.9942615822517546,0.998019801980198,0.999031007751938,0.9981021337282652,4,4,True,5,0.99009900990099,0.3638268990570615,0.773421452455844
Xi'an,xian_412_m4,19630,318,5,0.9170534084100064,0.9747190466350544,0.9905660377358492,0.9909638554216867,0.9918442706364669,4,4,True,11,3.459119496855346,0.2757818847590319,0.7597120756001877
Xi'an,xian_412_n1,19675,273,5,0.9188844710083484,0.9696734432156624,0.989010989010989,0.9913292772861356,0.9908971704623878,4,4,True,5,1.831501831501832,0.5421433901485819,0.6898744543412514
Xi'an,xian_412_n2,19708,240,5,0.9173993458137124,1.0,1.0,1.0,1.0,3,3,True,34,14.166666666666666,0.1548260110853272,0.8177618349726264
Xi'an,xian_412_n3,19478,470,5,0.9182741313389208,0.994443428805142,0.997872340425532,0.9945652173913044,0.9967615881171874,4,4,True,6,1.276595744680851,0.5185197344106967,0.7471468258059106
Xi'an,xian_412_n4,19645,303,5,0.9172847222766776,0.9910343712555718,0.9966996699669968,0.9971751412429378,0.9961834787489158,3,3,True,70,23.1023102310231,0.1962547386075557,0.7370571942916074
Xi'an,xian_415_m1,19852,96,5,0.9172409377381654,1.0,1.0,1.0,1.0,4,4,True,1,1.0416666666666663,0.2434153049315392,0.7789390895270718
Xi'an,xian_415_m2,19743,205,5,0.9172969086581576,0.9851125168466456,0.9951219512195122,0.9974489795918368,0.996029776674938,4,4,True,2,0.975609756097561,0.2852989875819172,0.7461088655175723
Xi'an,xian_415_m3,19701,247,5,0.9173265489384276,0.97425271595038,0.9919028340080972,0.9939484126984128,0.9939484126984128,4,4,True,1,0.4048582995951417,0.2137880744276852,0.8105050598091484
Xi'an,xian_415_m4,19754,194,5,0.9172809053194568,0.9709092202497102,0.9896907216494846,0.992831541218638,0.987367802585194,3,3,True,38,19.587628865979383,0.2748999348541217,0.6613209462090722
Xi'an,xian_415_n1,19618,330,5,0.9159052701983856,0.9936004432398302,0.996969696969697,0.9978070175438596,0.9950525245679432,4,4,True,33,10.0,0.2520243556963977,0.7498552581191122
Xi'an,xian_415_n2,19532,416,5,0.9156467329253662,0.9494420264857176,0.9831730769230768,0.9787363798991706,0.9836296753591348,4,4,True,25,6.009615384615385,0.2248220297381404,0.8044554888853934
Xi'an,xian_415_n4,19673,275,5,0.9171031946298462,0.9784231077634342,0.9927272727272728,0.9907407407407408,0.9935099692225344,4,4,True,1,0.3636363636363636,0.2868714052195186,0.8147507704625003
